city,animal_id,animal_type,intake_type,sterilized,outcome_category,intake_year,intake_month,length_of_stay
Austin,A521520,Dog,Stray,Sterilized,Returned to Owner,2013,October,0.0
Austin,A664235,Cat,Stray,Unknown,Transferred,2013,October,0.0
Austin,A664236,Cat,Stray,Unknown,Transferred,2013,October,0.0
Austin,A664237,Cat,Stray,Unknown,Transferred,2013,October,0.0
Austin,A664233,Dog,Stray,Intact,Euthanized,2013,October,0.0
Austin,A664238,Cat,Stray,Unknown,Euthanized,2013,October,0.0
Austin,A664234,Dog,Stray,Intact,Euthanized,2013,October,0.0
Austin,A664256,Cat,Owner Surrender,Sterilized,Transferred,2013,October,9.0
Austin,A664257,Dog,Stray,Intact,Adopted,2013,October,23.0
Austin,A664266,Dog,Stray,Intact,Transferred,2013,October,4.0
Austin,A664258,Dog,Stray,Sterilized,Returned to Owner,2013,October,0.0
Austin,A648744,Dog,Stray,Sterilized,Returned to Owner,2013,October,0.0
Austin,A664260,Cat,Stray,Intact,Transferred,2013,October,0.0
Austin,A664261,Cat,Stray,Intact,Transferred,2013,October,0.0
Austin,A651630,Dog,Owner Surrender,Sterilized,Adopted,2013,October,91.0
Austin,A664259,Dog,Stray,Intact,Euthanized,2013,October,16.0
Austin,A664269,Dog,Stray,Sterilized,Adopted,2013,October,18.0
Austin,A664262,Cat,Stray,Intact,Transferred,2013,October,0.0
Austin,A664263,Cat,Stray,Intact,Transferred,2013,October,0.0
Austin,A664265,Cat,Stray,Intact,Adopted,2013,October,11.0
Austin,A664264,Cat,Stray,Intact,Adopted,2013,October,13.0
Austin,A664267,Dog,Stray,Intact,Returned to Owner,2013,October,7.0
Austin,A664268,Cat,Stray,Intact,Adopted,2013,October,34.0
Austin,A664271,Cat,Stray,Intact,Transferred,2013,October,0.0
Austin,A664272,Dog,Stray,Sterilized,Transferred,2013,October,46.0
Austin,A664273,Dog,Stray,Intact,Adopted,2013,October,12.0
Austin,A639030,Dog,Stray,Sterilized,Returned to Owner,2013,October,1.0
Austin,A664253,Dog,Public Assist,Sterilized,Returned to Owner,2013,October,6.0
Austin,A658012,Dog,Stray,Sterilized,Returned to Owner,2013,October,0.0
Austin,A664274,Dog,Owner Surrender,Intact,Adopted,2013,October,10.0
Austin,A636021,Dog,Public Assist,Sterilized,Returned to Owner,2013,October,10.0
Austin,A664275,Dog,Stray,Intact,Adopted,2013,October,12.0
Austin,A664277,Dog,Stray,Intact,Adopted,2013,October,8.0
Austin,A664280,Dog,Stray,Sterilized,Returned to Owner,2013,October,0.0
Austin,A660220,Dog,Other,Sterilized,Adopted,2013,October,79.0
Austin,A634503,Dog,Owner Surrender,Sterilized,Adopted,2013,October,0.0
Austin,A664282,Cat,Stray,Intact,Transferred,2013,October,1.0
Austin,A664281,Cat,Stray,Intact,Transferred,2013,October,1.0
Austin,A664285,Cat,Stray,Intact,Other,2013,October,0.0
Austin,A664283,Cat,Stray,Intact,Adopted,2013,October,12.0
Austin,A664284,Cat,Stray,Intact,Other,2013,October,0.0
Austin,A664286,Dog,Stray,Intact,Adopted,2013,October,6.0
Austin,A664287,Dog,Stray,Intact,Adopted,2013,October,5.0
Austin,A664288,Cat,Stray,Intact,Euthanized,2013,October,0.0
Austin,A659642,Dog,Owner Surrender,Sterilized,Transferred,2013,October,8.0
Austin,A664296,Cat,Stray,Intact,Transferred,2013,October,10.0
Austin,A664289,Cat,Stray,Intact,Transferred,2013,October,1.0
Austin,A664292,Cat,Stray,Intact,Transferred,2013,October,1.0
Austin,A664293,Cat,Stray,Intact,Transferred,2013,October,10.0
Austin,A664294,Cat,Stray,Intact,Transferred,2013,October,10.0
Austin,A664295,Cat,Stray,Intact,Transferred,2013,October,10.0
Austin,A664297,Cat,Stray,Intact,Transferred,2013,October,10.0
Austin,A664298,Cat,Stray,Intact,Transferred,2013,October,10.0
Austin,A664302,Cat,Stray,Intact,Transferred,2013,October,1.0
Austin,A664303,Cat,Stray,Intact,Transferred,2013,October,1.0
Austin,A664304,Cat,Stray,Intact,Transferred,2013,October,1.0
Austin,A664291,Cat,Stray,Intact,Adopted,2013,October,75.0
Austin,A664290,Cat,Stray,Intact,Adopted,2013,October,67.0
Austin,A664308,Dog,Stray,Intact,Returned to Owner,2013,October,1.0
Austin,A664307,Dog,Stray,Intact,Transferred,2013,October,3.0
Austin,A664306,Dog,Stray,Intact,Transferred,2013,October,3.0
Austin,A664299,Dog,Stray,Intact,Transferred,2013,October,3.0
Austin,A664301,Dog,Stray,Intact,Adopted,2013,October,5.0
Austin,A664300,Dog,Stray,Intact,Adopted,2013,October,5.0
Austin,A664305,Dog,Stray,Intact,Adopted,2013,October,5.0
Austin,A664309,Dog,Stray,Intact,Transferred,2013,October,15.0
Austin,A646850,Dog,Owner Surrender,Sterilized,Adopted,2013,October,18.0
