Animal Type,sterilized,outcome_category,count,total,percentage
Cat,Intact,Adopted,30669,53271,57.6
Cat,Intact,Euthanized,1566,53271,2.9
Cat,Intact,Other,867,53271,1.6
Cat,Intact,Returned to Owner,816,53271,1.5
Cat,Intact,Transferred,19353,53271,36.3
Cat,Sterilized,Adopted,9920,17514,56.6
Cat,Sterilized,Euthanized,648,17514,3.7
Cat,Sterilized,Other,154,17514,0.9
Cat,Sterilized,Returned to Owner,2617,17514,14.9
Cat,Sterilized,Transferred,4175,17514,23.8
Dog,Intact,Adopted,41040,75740,54.2
Dog,Intact,Euthanized,1600,75740,2.1
Dog,Intact,Other,429,75740,0.6
Dog,Intact,Returned to Owner,15955,75740,21.1
Dog,Intact,Transferred,16716,75740,22.1
Dog,Sterilized,Adopted,28170,58935,47.8
Dog,Sterilized,Euthanized,941,58935,1.6
Dog,Sterilized,Other,118,58935,0.2
Dog,Sterilized,Returned to Owner,23210,58935,39.4
Dog,Sterilized,Transferred,6496,58935,11.0
