intake_year,intake_month,intake_month_name,Animal Type,Intake Type,count
2013,10,October,Cat,Euthanasia Request,3
2013,10,October,Cat,Owner Surrender,130
2013,10,October,Cat,Public Assist,4
2013,10,October,Cat,Stray,436
2013,10,October,Dog,Euthanasia Request,9
2013,10,October,Dog,Owner Surrender,219
2013,10,October,Dog,Public Assist,80
2013,10,October,Dog,Stray,870
2013,11,November,Cat,Euthanasia Request,8
2013,11,November,Cat,Owner Surrender,121
2013,11,November,Cat,Public Assist,19
2013,11,November,Cat,Stray,341
2013,11,November,Dog,Euthanasia Request,1
2013,11,November,Dog,Owner Surrender,195
2013,11,November,Dog,Public Assist,59
2013,11,November,Dog,Stray,788
2013,12,December,Cat,Euthanasia Request,4
2013,12,December,Cat,Owner Surrender,114
2013,12,December,Cat,Public Assist,20
2013,12,December,Cat,Stray,230
2013,12,December,Dog,Euthanasia Request,9
2013,12,December,Dog,Owner Surrender,236
2013,12,December,Dog,Public Assist,104
2013,12,December,Dog,Stray,708
2014,1,January,Cat,Euthanasia Request,3
2014,1,January,Cat,Owner Surrender,140
2014,1,January,Cat,Public Assist,15
2014,1,January,Cat,Stray,242
2014,1,January,Dog,Euthanasia Request,6
2014,1,January,Dog,Owner Surrender,230
2014,1,January,Dog,Public Assist,100
2014,1,January,Dog,Stray,800
2014,2,February,Cat,Owner Surrender,102
2014,2,February,Cat,Public Assist,7
2014,2,February,Cat,Stray,197
2014,2,February,Dog,Euthanasia Request,6
2014,2,February,Dog,Owner Surrender,248
2014,2,February,Dog,Public Assist,132
2014,2,February,Dog,Stray,684
2014,3,March,Cat,Owner Surrender,118
2014,3,March,Cat,Public Assist,12
2014,3,March,Cat,Stray,252
2014,3,March,Dog,Euthanasia Request,6
2014,3,March,Dog,Owner Surrender,226
2014,3,March,Dog,Public Assist,107
2014,3,March,Dog,Stray,798
2014,4,April,Cat,Euthanasia Request,1
2014,4,April,Cat,Owner Surrender,109
2014,4,April,Cat,Public Assist,7
2014,4,April,Cat,Stray,486
2014,4,April,Dog,Euthanasia Request,4
2014,4,April,Dog,Owner Surrender,207
2014,4,April,Dog,Public Assist,117
2014,4,April,Dog,Stray,790
2014,5,May,Cat,Euthanasia Request,2
2014,5,May,Cat,Owner Surrender,153
2014,5,May,Cat,Public Assist,6
2014,5,May,Cat,Stray,795
2014,5,May,Dog,Euthanasia Request,3
2014,5,May,Dog,Owner Surrender,212
2014,5,May,Dog,Public Assist,156
2014,5,May,Dog,Stray,881
2014,6,June,Cat,Euthanasia Request,4
2014,6,June,Cat,Owner Surrender,152
2014,6,June,Cat,Public Assist,19
2014,6,June,Cat,Stray,701
2014,6,June,Dog,Euthanasia Request,5
2014,6,June,Dog,Owner Surrender,255
2014,6,June,Dog,Public Assist,104
2014,6,June,Dog,Stray,796
2014,7,July,Cat,Euthanasia Request,3
2014,7,July,Cat,Owner Surrender,123
2014,7,July,Cat,Public Assist,86
2014,7,July,Cat,Stray,735
2014,7,July,Dog,Euthanasia Request,8
2014,7,July,Dog,Owner Surrender,240
2014,7,July,Dog,Public Assist,128
2014,7,July,Dog,Stray,853
2014,8,August,Cat,Euthanasia Request,1
2014,8,August,Cat,Owner Surrender,164
2014,8,August,Cat,Public Assist,9
2014,8,August,Cat,Stray,557
2014,8,August,Dog,Euthanasia Request,7
2014,8,August,Dog,Owner Surrender,259
2014,8,August,Dog,Public Assist,95
2014,8,August,Dog,Stray,812
2014,9,September,Cat,Euthanasia Request,4
2014,9,September,Cat,Owner Surrender,131
2014,9,September,Cat,Public Assist,14
2014,9,September,Cat,Stray,612
2014,9,September,Dog,Euthanasia Request,6
2014,9,September,Dog,Owner Surrender,314
2014,9,September,Dog,Public Assist,99
2014,9,September,Dog,Stray,855
2014,10,October,Cat,Euthanasia Request,3
2014,10,October,Cat,Owner Surrender,155
2014,10,October,Cat,Public Assist,16
2014,10,October,Cat,Stray,488
2014,10,October,Dog,Euthanasia Request,14
2014,10,October,Dog,Owner Surrender,237
2014,10,October,Dog,Public Assist,122
2014,10,October,Dog,Stray,816
2014,11,November,Cat,Euthanasia Request,3
2014,11,November,Cat,Owner Surrender,112
2014,11,November,Cat,Public Assist,6
2014,11,November,Cat,Stray,407
2014,11,November,Dog,Euthanasia Request,9
2014,11,November,Dog,Owner Surrender,233
2014,11,November,Dog,Public Assist,89
2014,11,November,Dog,Stray,866
2014,12,December,Cat,Owner Surrender,100
2014,12,December,Cat,Public Assist,6
2014,12,December,Cat,Stray,275
2014,12,December,Dog,Euthanasia Request,12
2014,12,December,Dog,Owner Surrender,295
2014,12,December,Dog,Public Assist,107
2014,12,December,Dog,Stray,850
2015,1,January,Cat,Owner Surrender,76
2015,1,January,Cat,Public Assist,7
2015,1,January,Cat,Stray,248
2015,1,January,Dog,Euthanasia Request,5
2015,1,January,Dog,Owner Surrender,300
2015,1,January,Dog,Public Assist,73
2015,1,January,Dog,Stray,846
2015,2,February,Cat,Owner Surrender,92
2015,2,February,Cat,Public Assist,7
2015,2,February,Cat,Stray,212
2015,2,February,Dog,Euthanasia Request,10
2015,2,February,Dog,Owner Surrender,274
2015,2,February,Dog,Public Assist,93
2015,2,February,Dog,Stray,771
2015,3,March,Cat,Euthanasia Request,3
2015,3,March,Cat,Owner Surrender,87
2015,3,March,Cat,Public Assist,25
2015,3,March,Cat,Stray,279
2015,3,March,Dog,Euthanasia Request,5
2015,3,March,Dog,Owner Surrender,231
2015,3,March,Dog,Public Assist,123
2015,3,March,Dog,Stray,816
2015,4,April,Cat,Euthanasia Request,2
2015,4,April,Cat,Owner Surrender,98
2015,4,April,Cat,Public Assist,14
2015,4,April,Cat,Stray,464
2015,4,April,Dog,Euthanasia Request,7
2015,4,April,Dog,Owner Surrender,339
2015,4,April,Dog,Public Assist,144
2015,4,April,Dog,Stray,805
2015,5,May,Cat,Euthanasia Request,1
2015,5,May,Cat,Owner Surrender,123
2015,5,May,Cat,Public Assist,19
2015,5,May,Cat,Stray,923
2015,5,May,Dog,Euthanasia Request,1
2015,5,May,Dog,Owner Surrender,254
2015,5,May,Dog,Public Assist,132
2015,5,May,Dog,Stray,1098
2015,6,June,Cat,Euthanasia Request,1
2015,6,June,Cat,Owner Surrender,144
2015,6,June,Cat,Public Assist,29
2015,6,June,Cat,Stray,1004
2015,6,June,Dog,Euthanasia Request,5
2015,6,June,Dog,Owner Surrender,269
2015,6,June,Dog,Public Assist,166
2015,6,June,Dog,Stray,1025
2015,7,July,Cat,Euthanasia Request,1
2015,7,July,Cat,Owner Surrender,143
2015,7,July,Cat,Public Assist,13
2015,7,July,Cat,Stray,688
2015,7,July,Dog,Euthanasia Request,11
2015,7,July,Dog,Owner Surrender,198
2015,7,July,Dog,Public Assist,166
2015,7,July,Dog,Stray,801
2015,8,August,Cat,Euthanasia Request,3
2015,8,August,Cat,Owner Surrender,172
2015,8,August,Cat,Public Assist,20
2015,8,August,Cat,Stray,701
2015,8,August,Dog,Euthanasia Request,8
2015,8,August,Dog,Owner Surrender,229
2015,8,August,Dog,Public Assist,110
2015,8,August,Dog,Stray,811
2015,9,September,Cat,Owner Surrender,174
2015,9,September,Cat,Public Assist,3
2015,9,September,Cat,Stray,653
2015,9,September,Dog,Euthanasia Request,2
2015,9,September,Dog,Owner Surrender,280
2015,9,September,Dog,Public Assist,92
2015,9,September,Dog,Stray,745
2015,10,October,Cat,Euthanasia Request,3
2015,10,October,Cat,Owner Surrender,208
2015,10,October,Cat,Public Assist,13
2015,10,October,Cat,Stray,625
2015,10,October,Dog,Euthanasia Request,6
2015,10,October,Dog,Owner Surrender,242
2015,10,October,Dog,Public Assist,150
2015,10,October,Dog,Stray,843
2015,11,November,Cat,Euthanasia Request,2
2015,11,November,Cat,Owner Surrender,149
2015,11,November,Cat,Public Assist,5
2015,11,November,Cat,Stray,404
2015,11,November,Dog,Euthanasia Request,2
2015,11,November,Dog,Owner Surrender,212
2015,11,November,Dog,Public Assist,99
2015,11,November,Dog,Stray,981
2015,12,December,Cat,Euthanasia Request,2
2015,12,December,Cat,Owner Surrender,98
2015,12,December,Cat,Public Assist,12
2015,12,December,Cat,Stray,267
2015,12,December,Dog,Euthanasia Request,7
2015,12,December,Dog,Owner Surrender,210
2015,12,December,Dog,Public Assist,130
2015,12,December,Dog,Stray,852
2016,1,January,Cat,Owner Surrender,142
2016,1,January,Cat,Public Assist,9
2016,1,January,Cat,Stray,202
2016,1,January,Dog,Euthanasia Request,6
2016,1,January,Dog,Owner Surrender,229
2016,1,January,Dog,Public Assist,125
2016,1,January,Dog,Stray,907
2016,2,February,Cat,Euthanasia Request,3
2016,2,February,Cat,Owner Surrender,117
2016,2,February,Cat,Public Assist,11
2016,2,February,Cat,Stray,192
2016,2,February,Dog,Euthanasia Request,1
2016,2,February,Dog,Owner Surrender,323
2016,2,February,Dog,Public Assist,118
2016,2,February,Dog,Stray,768
2016,3,March,Cat,Owner Surrender,136
2016,3,March,Cat,Public Assist,5
2016,3,March,Cat,Stray,246
2016,3,March,Dog,Euthanasia Request,2
2016,3,March,Dog,Owner Surrender,351
2016,3,March,Dog,Public Assist,175
2016,3,March,Dog,Stray,833
2016,4,April,Cat,Owner Surrender,131
2016,4,April,Cat,Public Assist,10
2016,4,April,Cat,Stray,577
2016,4,April,Dog,Euthanasia Request,2
2016,4,April,Dog,Owner Surrender,281
2016,4,April,Dog,Public Assist,116
2016,4,April,Dog,Stray,836
2016,5,May,Cat,Euthanasia Request,2
2016,5,May,Cat,Owner Surrender,156
2016,5,May,Cat,Public Assist,13
2016,5,May,Cat,Stray,814
2016,5,May,Dog,Euthanasia Request,2
2016,5,May,Dog,Owner Surrender,289
2016,5,May,Dog,Public Assist,140
2016,5,May,Dog,Stray,1076
2016,6,June,Cat,Owner Surrender,153
2016,6,June,Cat,Public Assist,24
2016,6,June,Cat,Stray,599
2016,6,June,Dog,Owner Surrender,281
2016,6,June,Dog,Public Assist,115
2016,6,June,Dog,Stray,809
2016,7,July,Cat,Euthanasia Request,1
2016,7,July,Cat,Owner Surrender,140
2016,7,July,Cat,Public Assist,12
2016,7,July,Cat,Stray,498
2016,7,July,Dog,Owner Surrender,239
2016,7,July,Dog,Public Assist,96
2016,7,July,Dog,Stray,880
2016,8,August,Cat,Owner Surrender,179
2016,8,August,Cat,Public Assist,66
2016,8,August,Cat,Stray,601
2016,8,August,Dog,Owner Surrender,256
2016,8,August,Dog,Public Assist,123
2016,8,August,Dog,Stray,832
2016,9,September,Cat,Owner Surrender,206
2016,9,September,Cat,Public Assist,18
2016,9,September,Cat,Stray,490
2016,9,September,Dog,Euthanasia Request,2
2016,9,September,Dog,Owner Surrender,304
2016,9,September,Dog,Public Assist,133
2016,9,September,Dog,Stray,844
2016,10,October,Cat,Owner Surrender,141
2016,10,October,Cat,Public Assist,10
2016,10,October,Cat,Stray,467
2016,10,October,Dog,Owner Surrender,275
2016,10,October,Dog,Public Assist,157
2016,10,October,Dog,Stray,725
2016,11,November,Cat,Owner Surrender,109
2016,11,November,Cat,Public Assist,7
2016,11,November,Cat,Stray,403
2016,11,November,Dog,Owner Surrender,239
2016,11,November,Dog,Public Assist,143
2016,11,November,Dog,Stray,933
2016,12,December,Cat,Euthanasia Request,1
2016,12,December,Cat,Owner Surrender,94
2016,12,December,Cat,Public Assist,15
2016,12,December,Cat,Stray,358
2016,12,December,Dog,Euthanasia Request,2
2016,12,December,Dog,Owner Surrender,273
2016,12,December,Dog,Public Assist,170
2016,12,December,Dog,Stray,848
2017,1,January,Cat,Owner Surrender,154
2017,1,January,Cat,Public Assist,3
2017,1,January,Cat,Stray,247
2017,1,January,Dog,Owner Surrender,315
2017,1,January,Dog,Public Assist,143
2017,1,January,Dog,Stray,913
2017,2,February,Cat,Owner Surrender,102
2017,2,February,Cat,Public Assist,3
2017,2,February,Cat,Stray,209
2017,2,February,Dog,Euthanasia Request,3
2017,2,February,Dog,Owner Surrender,437
2017,2,February,Dog,Public Assist,164
2017,2,February,Dog,Stray,760
2017,3,March,Cat,Owner Surrender,116
2017,3,March,Cat,Public Assist,8
2017,3,March,Cat,Stray,294
2017,3,March,Dog,Owner Surrender,295
